Packet Number,Timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Channel 17,Channel 18
1,33460,16.3,26.3,78.0,24.8,77.5,57.8,11.5,14.5,56.4,27.8,154.2,9.7,29.7,25.1,193.6,928.3,116.4,18.9
2,333460,9.4,12.5,21.7,6.7,26.0,12.0,6.3,8.3,76.2,21.1,185.9,6.2,33.1,26.5,197.2,898.5,51.8,13.6
3,633460,13.5,23.8,65.5,18.5,68.7,39.8,7.3,8.8,119.2,19.4,222.1,6.3,40.7,33.3,236.5,1120.0,60.6,14.2
4,933460,11.2,16.5,27.0,9.8,40.0,18.5,6.4,8.3,173.8,18.9,301.5,6.0,47.5,35.4,201.5,882.0,54.9,14.2
5,1233460,7.8,9.7,11.9,4.4,16.0,6.9,8.8,10.9,99.8,22.0,215.6,7.6,37.0,30.0,190.9,889.1,84.7,16.4
6,1533460,11.7,17.5,35.4,11.2,44.0,24.4,7.8,9.8,284.1,18.9,406.6,6.3,62.6,44.4,231.9,966.0,73.6,15.2
7,1833460,11.5,17.8,31.5,11.0,44.5,24.8,7.9,10.1,119.2,20.6,223.7,6.7,37.0,27.3,155.4,695.5,75.5,15.8
8,2133460,11.2,19.1,47.3,14.0,55.9,29.5,7.3,9.3,166.3,23.7,283.5,7.1,44.4,31.9,167.9,714.6,65.8,15.2
9,2433460,9.2,12.5,21.1,7.5,26.0,12.0,7.3,9.4,130.0,23.3,265.4,6.9,41.7,28.4,126.4,525.3,59.1,14.8
10,2733460,7.8,12.2,23.5,7.0,27.7,15.7,7.3,9.8,77.3,22.4,182.5,7.1,32.1,26.5,162.4,765.2,69.2,16.1
11,3033460,6.1,8.4,10.7,4.2,14.6,7.8,6.6,8.6,104.2,19.4,211.4,6.1,34.9,26.8,143.4,663.6,56.6,14.8
12,3333460,5.3,7.5,8.9,3.0,10.6,5.3,7.3,9.4,48.5,18.9,132.0,6.3,25.5,24.3,183.1,898.1,71.7,14.8
13,3633460,5.5,6.8,7.7,2.7,8.9,4.2,7.8,9.8,66.1,20.7,155.2,6.7,27.6,24.0,158.9,772.4,73.0,15.8
14,3933460,5.3,7.5,7.7,2.5,8.7,3.7,6.3,8.1,79.5,18.9,170.9,6.0,29.7,23.7,140.2,654.3,53.8,14.2
15,4233460,5.5,7.4,7.7,3.0,9.2,4.6,6.8,8.8,66.1,19.5,154.5,6.3,27.4,22.7,138.6,665.0,59.1,15.5
16,4533460,5.3,6.5,7.1,2.5,7.1,2.6,6.6,8.3,68.7,21.8,171.9,6.7,29.4,24.3,152.7,723.2,58.3,14.2
17,4833460,6.9,9.4,8.9,3.3,10.6,4.7,8.4,10.6,67.2,23.9,167.1,7.8,28.4,24.0,149.7,720.7,80.3,16.4
18,5133460,8.4,11.5,12.5,4.1,15.1,6.9,7.9,10.3,85.9,25.5,188.2,7.9,31.3,25.4,155.4,731.5,77.3,15.8
19,5433460,8.4,11.3,11.6,4.2,13.5,6.0,6.8,8.8,73.6,24.3,178.4,7.3,29.4,22.4,125.8,574.5,62.1,15.2
20,5733460,7.6,10.3,10.7,3.3,12.0,4.7,6.6,8.4,68.7,23.9,172.9,7.1,28.2,21.6,116.3,523.9,58.2,14.8
159,914316,9.2,12.2,14.6,6.4,22.2,10.4,8.3,10.3,29.1,18.7,93.4,6.7,21.6,19.2,131.0,660.7,67.5,17.7
